dec 10/11:13:40.574 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.576 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.577 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
dec 10/11:13:40.578 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
dec 10/11:13:40.578 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
dec 10/11:13:40.579 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
dec 10/11:13:40.580 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
dec 10/11:13:40.581 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.583 DEBUG2 : 		ReadTarget16
dec 10/11:13:40.584 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.585 DEBUG2 : 		WriteTarget32 Address=0x20000300 Data=0x08000000
dec 10/11:13:40.587 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x00000000
dec 10/11:13:40.587 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.588 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.590 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.591 DEBUG2 : 		STLinkWriteReg
dec 10/11:13:40.592 DEBUG2 : 		STLinkReadReg
dec 10/11:13:40.594 DEBUG2 : 		ReadTarget16
dec 10/11:13:40.595 DEBUG2 : 		ReadTarget32
dec 10/11:13:40.596 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
dec 10/11:13:40.596 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
dec 10/11:13:40.597 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
dec 10/11:13:40.598 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
dec 10/11:13:40.599 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
dec 10/11:13:40.599 DEBUG2 : 		Go >
dec 10/11:13:40.603 DEBUG2 : 		Go <
dec 10/11:13:40.605 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.607 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.609 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.611 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.613 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.615 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.617 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.619 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.621 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.623 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.625 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.627 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.629 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.631 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.633 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.636 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.638 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.640 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.642 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.645 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.647 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.649 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.651 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.653 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.655 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.657 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.659 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.661 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.663 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.665 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.667 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.670 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.672 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.674 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.676 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.678 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.680 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.682 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.684 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.686 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.688 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.690 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.692 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.694 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.696 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.698 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.700 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.703 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.705 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.707 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.709 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.712 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.714 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.716 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.719 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.721 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.723 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.725 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.727 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.730 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.732 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.734 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.736 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.738 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.740 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.742 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.744 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.746 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.747 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.750 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.752 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.754 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.756 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.758 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.760 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.761 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.763 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.765 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.767 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.770 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.772 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.774 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.777 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.778 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.781 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.783 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.784 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.787 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.788 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.791 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.793 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.795 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.797 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.798 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.800 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.803 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.805 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.808 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.809 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.812 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.813 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.817 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.818 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.821 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.822 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.824 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.826 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.828 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.831 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.833 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.835 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.837 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.839 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.841 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.844 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.846 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.849 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.851 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.853 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.855 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.858 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.860 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.862 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.864 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.867 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.869 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.871 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.873 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.875 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.877 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.879 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.881 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.883 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.886 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.888 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.890 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.892 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.894 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.896 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.898 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.900 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.902 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.904 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.906 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.909 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.911 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.913 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.915 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.917 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.919 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.921 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.923 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.925 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.927 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.929 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.931 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.933 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.935 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.937 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.939 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.941 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.943 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.945 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.947 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.950 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.952 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.954 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.956 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.958 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.960 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.963 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.966 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.969 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.971 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.974 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.976 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.978 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.980 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.983 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.985 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.988 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.990 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.992 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.994 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.996 DEBUG2 : 		STLinkIsCpuHalted
dec 10/11:13:40.999 DEBUG2 : 		STLinkIsCpuHalted
