nov 12/21:41:40.511 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.512 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:40.512 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 12/21:41:40.512 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 12/21:41:40.513 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
nov 12/21:41:40.513 DEBUG2 : 		WriteTarget32 Address=0xE0001058 Data=0x00000000
nov 12/21:41:40.513 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.516 DEBUG2 : 		ReadTarget16
nov 12/21:41:40.516 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.517 DEBUG2 : 		WriteTarget32 Address=0x20000300 Data=0x08000000
nov 12/21:41:40.518 DEBUG2 : 		WriteTarget32 Address=0x2000BD84 Data=0x00000000
nov 12/21:41:40.518 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:40.519 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.521 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.522 DEBUG2 : 		STLinkWriteReg
nov 12/21:41:40.522 DEBUG2 : 		STLinkReadReg
nov 12/21:41:40.525 DEBUG2 : 		ReadTarget16
nov 12/21:41:40.525 DEBUG2 : 		ReadTarget32
nov 12/21:41:40.526 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC Data=0x01000000
nov 12/21:41:40.527 DEBUG2 : 		WriteTarget32 Address=0xE0001028 Data=0x00000000
nov 12/21:41:40.527 DEBUG2 : 		WriteTarget32 Address=0xE0001038 Data=0x00000000
nov 12/21:41:40.528 DEBUG2 : 		WriteTarget32 Address=0xE0001048 Data=0x00000000
